Names,Website,Introduction,Phone Number,Address,Type,Opens At,Municipio
Tr3s 3istro Restaurant & Oyster Bar,tr3s3istro.com,None Found,+52 951 501 0407,"Portal Las Flores 3, OAX_RE_BENITO JUAREZ, Centro, 68000 Centro, Oax., México",Restaurante mexicano, Abre a las 9a.m.,Oaxaca de Juárez
Cafe Bistrot Epicuro - Restaurante italiano y pizzeria-,epicuro.info,"Salón luminoso y terraza en la azotea; se sirven pizzas hechas en horno de leña, pasta y carne asada.",+52 951 514 9750,"Vicente Guerrero 319, Oaxaca, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante italiano,,Oaxaca de Juárez
El Escapulario,facebook.com,"Cafetería mexicana pequeña y sencilla con platos tradicionales y vegetarianos, horario extendido y comida para llevar.",,"C. de Manuel García Vigil 617, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante, Abre a las 12p.m.,Oaxaca de Juárez
Mexita,facebook.com,None Found,+52 951 520 2180,"Federico Ortiz Armegol 105, Reforma, 68050 Oaxaca de Juárez, Oax., México",Restaurante italiano, Abre a las 2p.m.,Oaxaca de Juárez
Zandunga Sabor Istmeño,zandungasabor.com,Establecimiento moderno que sirve clásicos locales hechos con ingredientes de la zona y cocteles de mezcal.,+52 951 516 2265,"C. de Manuel García Vigil 512-E, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 12p.m.,Oaxaca de Juárez
La Olla,laolla.com.mx,"Cantina artística con terraza en la azotea, enchiladas, cocteles de mezcal y desayunos de fin de semana.",+52 951 516 6668,"Reforma 402, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 12p.m.,Oaxaca de Juárez
La Casa del Tío Güero,,None Found,+52 951 516 9584,"C. de Manuel García Vigil 715, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 7:30a.m. del lun,Oaxaca de Juárez
El Biche Pobre,linktr.ee,Pintoresco comedor familiar con estilo folclórico en el que se ofrecen botanas y especialidades oaxaqueñas.,+52 951 513 4636,"Calz. de la República 600, Barrio de Jalatlaco, 68000 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 8a.m.,Oaxaca de Juárez
Los Chavales de la Barriada.,loschavales.com.mx,"Elegante comedor rústico con inspiración argentina que sirve filetes, pizza y platos de desayuno con huevo.",+52 951 513 0688,"Netzahualcóyotl No.300, Reforma, 68050 Oaxaca de Juárez, Oax., México",Restaurante argentino, Abre a las 8a.m.,Oaxaca de Juárez
Ancestral Cocina Tradicional,ancestralcocinatradicional.com,"Restaurante informal con mesas al aire libre de platos de carne y pescado novedosos, postres y mezcal.",+52 951 468 8960,"C. José López Alavez 1347, Barrio de Xochimilco, 68040 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 8:30a.m.,Oaxaca de Juárez
Grano de Mostaza,facebook.com,"Cafetería alegre en la que se sirven dulces junto con hamburguesas, pizza y comida liviana para desayunar y almorzar.",+52 951 144 7460,"Huerto Limonares 209, Universidad, Trinidad de las Huertas, 68120 Oaxaca de Juárez, Oax., México",Restaurante de fusión, Abre a las 8a.m. del lun,Oaxaca de Juárez
Restaurante Casa Palmeras,,"Destino relajado con terraza cubierta, platos sustanciosos y desayuno.",+52 951 513 7823,"68050, Emiliano Zapata 105, Reforma, Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 8a.m.,Oaxaca de Juárez
Levadura de Olla Restaurante,levaduradeolla.mx,None Found,,"C. de Manuel García Vigil 304, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a la 1p.m. del mar,Oaxaca de Juárez
Restaurante Colibrí,,None Found,+52 951 513 3760,"Calz. Heroes de Chapultepec 903, Reforma, 68050 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 8a.m.,Oaxaca de Juárez
Ocote cocina,m.facebook.com,Restaurante alegre y discreto de platos tradicionales con un giro creativo.,+52 951 292 9554,"5 de Mayo 107, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante, Abre a las 5:30p.m.,Oaxaca de Juárez
Ocote cocina,m.facebook.com,Restaurante alegre y discreto de platos tradicionales con un giro creativo.,+52 951 292 9554,"5 de Mayo 107, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante, Abre a las 5:30p.m.,Oaxaca de Juárez
El Asador Vasco,asadorvasco.com,"Histórica casa colonial con cocina oaxaqueña, vasca e internacional ofrecida en un refinado salón y terraza.",+52 19515144755,"Portal Las Flores 10-A, OAX_RE_BENITO JUAREZ, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante de cocina europea, Abre a la 1:30p.m.,Oaxaca de Juárez
Boulenc,boulenc.mx,"Café-panadería luminoso con mesas en un patio cubierto. Tiene panes artesanales, bollería y platos de brunch.",+52 951 351 3648,"C. Porfirio Díaz 207, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante, Abre a las 8:30a.m.,Oaxaca de Juárez
El Mirador,,None Found,+52 951 516 5150,"Carretera Federal 190, Cerro del Fortín Km. 3, Faldas del Fortin, 68030 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 9a.m.,Oaxaca de Juárez
Dassani Restaurante,,None Found,+52 951 239 4975,"Miguel Hidalgo 1413, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante italiano, Abre a las 2p.m.,Oaxaca de Juárez
El Quinque,m.facebook.com,None Found,+52 951 502 6702,"Miguel Hidalgo 218-A, Zona Lunes Feb 09, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a la 1p.m. del lun,Oaxaca de Juárez
Terranova,,"Restaurante amplio y animado con mesas al aire libre, donde se sirven comida clásica mexicana y desayuno tipo buffet.",+52 951 516 4747,"Portal, Av Benito Juárez 116, OAX_RE_BENITO JUAREZ, Centro Histórico, 68000 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 8a.m.,Oaxaca de Juárez
Che Gaucho,chegaucho.com.mx,Cortes a la parrilla son la especialidad en este restaurant bar con estética neorrústica y soleada terraza.,+52 951 157 0709,"Esquina con, Calle las Rosas, C. Alamos 700, Reforma, 68050 Oaxaca de Juárez, Oax., México",Restaurante argentino, Abre a las 8:30a.m.,Oaxaca de Juárez
Asador Bacanora Oaxaca,asadorbacanoraoaxaca.com,None Found,+52 951 217 3796,"5 de Mayo 614, Barrio de Jalatlaco, 68080 Oaxaca de Juárez, Oax., México",Restaurante mexicano,,Oaxaca de Juárez
Los Pacos,lospacosoaxaca.com,None Found,+52 951 789 8108,"Av Belisario Domínguez 108, Reforma, 68050 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 9a.m.,Oaxaca de Juárez
La Toscana,restaurante.covermanager.com,None Found,+52 951 283 8865,"5 de Mayo 206, entre curtidurías y niños heroes, Centro, 68080 Oaxaca de Juárez, Oax., México",Restaurante, Abre a las 8a.m.,Oaxaca de Juárez
La Rueca Restaurante,canva.com,None Found,+52 951 651 3916,"5 de Mayo #413, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante francés, 1a.m. ,Oaxaca de Juárez
La Rueca Restaurante,canva.com,None Found,+52 951 651 3916,"5 de Mayo #413, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante francés, 1a.m. ,Oaxaca de Juárez
"LA TRIBU-Natural Bistro, Oaxaca.",,None Found,+52 951 108 2724,"Río Bravo 1516, La Cascada, 68040 Oaxaca de Juárez, Oax., México",Restaurante, Abre a las 8a.m.,Oaxaca de Juárez
Terraza Istmo,facebook.com,None Found,+52 951 511 9890,"Av. José María Morelos 400, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante mexicano,,Oaxaca de Juárez
El Olivo Gastrobar,voraz.xyz,None Found,+52 951 156 8513,"C/ de la Constitución 207, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante de cocina española, Abre a la 1p.m.,Oaxaca de Juárez
Marco Polo Seafood Restaurant,,"Local con patio arbolado, que sirve desayuno y platos de camarón y pescado hechos en horno de ladrillos.",+52 951 513 4308,"Calle de José María Pino Suárez 806, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Marisquería, Abre a las 8a.m.,Oaxaca de Juárez
Oaxaca te amo,,None Found,+52 951 459 0457,"C. de Manuel García Vigil 509, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 5p.m.,Oaxaca de Juárez
ALAMBIQUE-Tradicional Restobar,alambiquepub.com.mx,None Found,+52 951 108 3193,"C. Macedonio Alcalá 401, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Bar restaurante, 1:30a.m. ,Oaxaca de Juárez
Restaurante Coronita,restaurantecoronita.com,None Found,+52 951 205 8907,"# 68000, Díaz Ordaz 208, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante mexicano,,Oaxaca de Juárez
Restaurante El Andariego Cocina Tradicional,,None Found,+52 951 198 9150,"Av. de la Independencia 503, CENTRO, Centro, 68000 Oaxaca de Juárez, Oax., México",Bar, Abre a las 7:30a.m.,Oaxaca de Juárez
Adamá,adamaoax.com,None Found,+52 951 429 8646,"Aldama 101, RUTA INDEPENDENCIA, Barrio de Xochimilco, 68040 Oaxaca de Juárez, Oax., México",Restaurante de cocina de Oriente Medio, Abre a las 2p.m.,Oaxaca de Juárez
Humar,facebook.com,None Found,+52 951 265 7384,"Mariano Matamoros 501, Centro, 68000 Oaxaca de Juárez, Oax., México",Marisquería, Abre a la 1p.m.,Oaxaca de Juárez
Humar,facebook.com,None Found,+52 951 265 7384,"Mariano Matamoros 501, Centro, 68000 Oaxaca de Juárez, Oax., México",Marisquería, Abre a la 1p.m.,Oaxaca de Juárez
El Tendajón,m.facebook.com,None Found,+52 951 427 7270,"Calle de José María Pino Suárez 409, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante, Abre a las 8:30a.m.,Oaxaca de Juárez
El Tendajón,m.facebook.com,None Found,+52 951 427 7270,"Calle de José María Pino Suárez 409, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante, Abre a las 8:30a.m.,Oaxaca de Juárez
La Popular,facebook.com,None Found,+52 951 206 2751,"Jesús Carranza 110, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",, Abre a la 1p.m.,Oaxaca de Juárez
El Chapulín Restaurant Oax,facebook.com,None Found,+52 951 657 3748,"Miguel Hidalgo 507-B, Zona Lunes Feb 09, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a la 1p.m.,Oaxaca de Juárez
La Casona de la Abuela,,None Found,+52 951 132 5493,"C. Palmeras 716, Reforma, 68050 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 8:30a.m.,Oaxaca de Juárez
Red Indian Chilli,,"Local informal con decoración discreta donde se sirve curri indio clásico, con opciones vegetarianas.",+52 55 3550 2809,"Colonia, Vicente Guerrero N° 105 Plaza Comercial Guerrero Plants Baja Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante indio, Abre a las 3p.m. del mar,Oaxaca de Juárez
Restaurante Casa Hidalgo,hotelcasahidalgo.com,None Found,+52 951 167 1435,"Miguel Hidalgo 417-B, Zona Lunes Feb 09, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante, Abre a las 7:15a.m.,Oaxaca de Juárez
El Museo de la Botana Y RESTAURANTE LOS GERANIOS (hotel oaxaca inn reforma),,None Found,+52 951 513 3285,"C. Amapolas 511-A, Reforma, 68050 Oaxaca de Juárez, Oax., México",Bar restaurante,,Oaxaca de Juárez
Brío Cocina Local,briooaxaca.com,None Found,+52 951 569 2497,"Calle de Armenta y López 300, OAX_RE_BENITO JUAREZ, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante, Abre a la 1p.m.,Oaxaca de Juárez
Brío Cocina Local,briooaxaca.com,None Found,+52 951 569 2497,"Calle de Armenta y López 300, OAX_RE_BENITO JUAREZ, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante, Abre a la 1p.m.,Oaxaca de Juárez
Casa Mayordomo,casamayordomo.com.mx,"Cantina oaxaqueña luminosa que ofrece chocolate caliente especiado, limonada fresca y tacos de pollo.",+52 951 514 4363,"C. Macedonio Alcalá 302, RUTA INDEPENDENCIA, Ejidal, 68000 Oaxaca de Juárez, Oax., México",Restaurante de desayunos, Abre a las 8a.m.,Oaxaca de Juárez
CRUDO,,None Found,+52 951 462 2482,"Av Benito Juárez #309, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",, Abre a las 3p.m.,Oaxaca de Juárez
Sabor Antiguo,facebook.com,None Found,+52 951 128 3760,"C. De Manuel Doblado 724-A, Centro, 68083 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 8a.m. del lun,Oaxaca de Juárez
El Gran Gourmet Oaxaqueño,elgrangourmet.com,None Found,+52 951 516 7822,"Av. de la Independencia 1104, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante mexicano,,Oaxaca de Juárez
La Casa De La Chef,,None Found,+52 951 440 2349,"Calz. de la República 304, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 8a.m.,Oaxaca de Juárez
Cabuche,,None Found,+52 951 514 1672,"Miguel Hidalgo 1017, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 10a.m. del lun,Oaxaca de Juárez
Cabuche,,None Found,+52 951 514 1672,"Miguel Hidalgo 1017, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 10a.m. del lun,Oaxaca de Juárez
Santo Sabor Restaurante,facebook.com,None Found,+52 951 205 1231,"Murguía 510, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 9:30a.m. del lun,Oaxaca de Juárez
La Terraza del Copal,,None Found,+52 951 427 4496,"Niños Heroes 312, Centro, 68080 Oaxaca de Juárez, Oax., México",Restaurante, Abre a las 9a.m.,Oaxaca de Juárez
El Mesón Oaxaqueño,,None Found,+52 951 516 2729,"Miguel Hidalgo #805, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 8a.m.,Oaxaca de Juárez
Casa Celia Restaurante,,None Found,+52 951 713 0283,"Calle Quintana Roo 217, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante de cocina española,,Oaxaca de Juárez
Itanoní,,"Cantina luminosa y colorida especializada en platos regionales de tortillas con maíz, guayaba y chocolate.",+52 951 205 2282,"Av Belisario Domínguez 513, Reforma, 68050 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 7a.m.,Oaxaca de Juárez
Santa Hierba Jalatlaco,santahierbamx.com,None Found,+52 951 228 8790,"5 de Mayo 505, Barrio de Jalatlaco, 68080 Oaxaca de Juárez, Oax., México",Restaurante,,Oaxaca de Juárez
La Teca,,None Found,+52 951 515 0563,"C. Violetas 200, Reforma, 68050 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a la 1p.m.,Oaxaca de Juárez
Humito Cocina y Foro 8 Temblor,facebook.com,None Found,+52 951 525 6768,"Panorámica del Fortín 412, Faldas del Fortin, 68075 Oaxaca de Juárez, Oax., México",Restaurante, Abre a la 1p.m. del lun,Oaxaca de Juárez
Humito Cocina y Foro 8 Temblor,facebook.com,None Found,+52 951 525 6768,"Panorámica del Fortín 412, Faldas del Fortin, 68075 Oaxaca de Juárez, Oax., México",Restaurante, Abre a la 1p.m. del lun,Oaxaca de Juárez
Comedor Típico La Abuelita,,None Found,+52 951 516 0702,"20 De Noviembre, 20 de Noviembre, OAX_RE_BENITO JUAREZ, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 7a.m.,Oaxaca de Juárez
Aguacate Oaxaca | Veggie Bar,linktr.ee,None Found,+52 951 604 6228,"Reforma 703, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante vegetariano, Abre a las 11a.m.,Oaxaca de Juárez
Pan:am Abasolo,facebook.com,Panadería y cafetería en una casa clásica oaxaqueña con paredes coloridas y patio.,+52 951 514 0132,"C. de Mariano Abasolo 103 B, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante de brunch, Abre a las 8a.m.,Oaxaca de Juárez
Tlayudas La Chinita,facebook.com,"Restaurante de comida para llevar que ofrece tlayudas con varios aderezos, como carne asada y salchichas.",,"Esquina, nuño del mercado y 20 de noviembre, C. de Nuño del Mercado 209, OAX_RE_BENITO JUAREZ, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 8p.m. del lun,Oaxaca de Juárez
Pan:am Reforma,facebook.com,Masas y panes artesanales caseros en una cafetería tranquila con una terraza cubierta.,+52 951 515 7858,"Av Belisario Domínguez 809, Reforma, 68050 Oaxaca de Juárez, Oax., México",Restaurante de brunch,,Oaxaca de Juárez
Restaurante Mayordomo,chocolatemayordomo.com.mx,None Found,,"68000, Miguel Hidalgo 616, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 7a.m.,Oaxaca de Juárez
Makaria Restaurante,,None Found,+52 951 172 3270,"De Naranjos 201, Esquina Las Rosas, Reforma, 68050 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 8:30a.m. del lun,Oaxaca de Juárez
Makaria Restaurante,,None Found,+52 951 172 3270,"De Naranjos 201, Esquina Las Rosas, Reforma, 68050 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 8:30a.m. del lun,Oaxaca de Juárez
Los Adobes,facebook.com,"Restaurante simple con toques rústicos, en el que se sirve comida casera como quesadillas y chilaquiles.",+52 951 511 2385,"De Rayon 103, FERROCARRIL, Agencia de Policia de Cinco Señores, 68120 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 8a.m.,Oaxaca de Juárez
Casablanca Restaurant,,None Found,+52 951 612 2383,"De Circuito Sur 113, La Cascada, 68050 Oaxaca de Juárez, Oax., México",Restaurante chino, Abre a la 1p.m.,Oaxaca de Juárez
Vips Oaxaca Centro,vips.com.mx,None Found,+52 15025328,"Av Benito Juárez 809, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 7a.m.,Oaxaca de Juárez
Vips Oaxaca Centro,vips.com.mx,None Found,+52 15025328,"Av Benito Juárez 809, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 7a.m.,Oaxaca de Juárez
Sirilo | Cocina Folk,facebook.com,None Found,+52 951 446 5950,"Esquina con, Calle Amapolas, C. Almendros 400, Reforma, 68050 Oaxaca de Juárez, Oax., México",Marisquería, Abre a la 1p.m.,Oaxaca de Juárez
Coquina Hua Xha,facebook.com,None Found,+52 951 578 4876,"C. Macedonio Alcalá 902-C, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 9a.m.,Oaxaca de Juárez
Italianni's Oaxaca,italiannis.com.mx,None Found,+52 951 143 3434,"Heroica Escuela Naval Militar 118, Reforma, 68050 Oaxaca de Juárez, Oax., México",Restaurante italiano, Abre a las 8a.m.,Oaxaca de Juárez
Restaurante La Terraza De Tita,oaxacareal.com,None Found,+52 951 205 8866,"C. de Manuel García Vigil 306, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante, Abre a las 7a.m.,Oaxaca de Juárez
Restaurante Barrio de Jalatlaco,,None Found,+52 951 192 8981,"Miguel Hidalgo 111-Planta Alta, Barrio de Jalatlaco, 68080 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 8a.m.,Oaxaca de Juárez
Restaurante Barrio de Jalatlaco,,None Found,+52 951 192 8981,"Miguel Hidalgo 111-Planta Alta, Barrio de Jalatlaco, 68080 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a las 8a.m.,Oaxaca de Juárez
Chirundo Cocina de Humo,,None Found,+52 951 557 3986,"Ignacio Allende 207, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante, Abre a la 1p.m.,Oaxaca de Juárez
Hierba Dulce,hierba-dulce.com,"Especialidades creativas a base de plantas, en un espacio relajado con atmósfera hogareña.",+52 951 516 5374,"Cda. de Agustín Melgar 103, Vicente Suarez, 68033 Oaxaca de Juárez, Oax., México",Restaurante vegano,,Oaxaca de Juárez
El Típico,,None Found,+52 951 518 6557,"Zárate 207, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Bar, Abre a las 8a.m.,Oaxaca de Juárez
Casa Hidalgo Hotel Boutique Oaxaca,hotelcasahidalgo.com,None Found,+52 951 167 1435,"Miguel Hidalgo 417, Zona Lunes Feb 09, Centro, 68000 Oaxaca de Juárez, Oax., México",,,Oaxaca de Juárez
Casa Hidalgo Hotel Boutique Oaxaca,hotelcasahidalgo.com,None Found,+52 951 167 1435,"Miguel Hidalgo 417, Zona Lunes Feb 09, Centro, 68000 Oaxaca de Juárez, Oax., México",,,Oaxaca de Juárez
Moogoñé - Cocina de época,moogone.mx,None Found,+52 951 117 2498,"Av. de la Independencia 105 A, CALZADA MADERO, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante,,Oaxaca de Juárez
El Asador Vasco,reforma.asadorvasco.com,None Found,+52 951 358 5854,"Calz. Porfirio Díaz 258-2do. Piso, Reforma, 68050 Oaxaca de Juárez, Oax., México",Parrilla, Abre a las 8a.m.,Oaxaca de Juárez
Restaurante Los Cuerudos,facebook.com,None Found,+52 951 746 6240,"Calle las Rosas 210, Reforma, 68050 Oaxaca de Juárez, Oax., México",Restaurante, Abre a las 8:30a.m. del lun,Oaxaca de Juárez
Citronella Barra Natural,citronellabarranat.wixsite.com,None Found,+52 951 115 7424,"Mariano Matamoros 203-Interior 5, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante vegano, Abre a las 8:30a.m.,Oaxaca de Juárez
Mixtú 🐈,casadearte.mx,None Found,+52 951 143 3028,"Calz. Porfirio Díaz 221, Reforma, 68050 Oaxaca de Juárez, Oax., México",Restaurante, Abre a las 9a.m.,Oaxaca de Juárez
Mixtú 🐈,casadearte.mx,None Found,+52 951 143 3028,"Calz. Porfirio Díaz 221, Reforma, 68050 Oaxaca de Juárez, Oax., México",Restaurante, Abre a las 9a.m.,Oaxaca de Juárez
Comala restaurant,m.facebook.com,None Found,+52 951 351 7838,"68000, Calle de José María Pino Suárez 300A, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante mexicano, Abre a la 1p.m. del lun,Oaxaca de Juárez
Okasa lovely food,,None Found,+52 19511018293,"Calle De La c, Reforma 905, Centro, 68000 Oaxaca de Juárez, Oax., México",Restaurante, Abre a las 8a.m. del lun,Oaxaca de Juárez
